id	CUEX1	CUEX2	CUEX3	PERQ1	PERQ2	PERQ3	PERQ4	PERQ5	PERQ6	PERQ7	PERV1	PERV2	CUSA1	CUSA2	CUSA3	CUSL1	CUSL2	CUSL3
1	6	6	5	6	5	2	6	5	3	3	0	1	5	2	6	5	3	5
2	9	9	8	9	8	9	9	8	9	9	9	9	9	9	7	9	0	9
3	6	6	6	6	7	3	6	7	6	6	6	6	7	6	6	5	0	6
4	6	9	3	7	9	9	7	2	3	7	3	3	9	9	9	9	2	9
5	7	6	9	9	8	7	9	8	8	7	5	5	9	7	7	9	1	7
6	9	8	6	8	9	8	9	7	8	8	9	9	7	6	6	9	1	9
7	8	5	0	6	7	8	6	7	6	7	3	6	7	7	7	6	5	7
8	3	5	0	7	5	6	7	6	7	6	3	6	6	5	6	3	6	7
9	6	6	6	6	7	5	6	6	6	7	3	6	6	6	6	5	1	6
10	7	6	1	5	5	7	7	7	6	7	2	5	6	3	3	9	2	5
11	6	5	7	7	7	7	7	7	7	7	6	6	9	5	6	9	2	7
12	9	9	8	6	7	7	7	8	8	7	3	6	7	7	6	3	0	3
13	7	5	8	8	8	6	7	7	8	7	3	5	7	7	6	6	1	7
14	9	9	9	9	6	9	9	9	9	9	6	7	9	7	7	9	2	9
15	3	3	9	7	7	7	8	5	8	6	0	3	7	5	6	3	0	9
16	3	6	8	9	8	8	8	8	8	8	0	6	8	5	6	8	2	7
17	7	7	5	8	7	9	8	9	8	2	3	9	8	7	6	9	0	9
18	3	6	6	6	5	3	7	6	6	6	6	6	7	3	3	1	1	1
19	7	7	9	7	7	8	8	7	8	8	7	6	8	7	8	8	3	9
20	3	6	5	7	6	6	7	7	6	5	6	6	7	7	5	7	0	5
21	2	6	6	6	7	7	7	8	7	7	6	6	7	8	7	7	2	8
22	5	8	8	7	1	9	6	8	7	5	3	3	6	2	3	1	5	6
23	6	3	6	6	6	6	7	6	6	3	3	6	6	6	3	6	0	6
24	6	6	7	7	7	7	7	7	6	6	8	8	7	7	7	7	0	8
25	7	6	6	5	7	3	3	7	5	2	1	3	6	3	0	1	0	0
26	7	9	7	9	9	9	9	9	9	9	7	7	9	7	9	9	7	9
27	7	7	7	7	7	7	7	7	7	6	6	6	7	3	6	6	1	6
28	7	7	9	3	3	3	3	3	3	3	9	9	7	3	6	9	9	7
29	5	6	6	7	6	7	6	6	6	7	6	7	7	6	6	8	3	7
30	6	9	9	9	9	8	9	8	9	8	7	9	9	9	8	9	7	9
31	5	7	6	8	8	7	8	7	8	7	7	8	8	7	7	7	1	9
32	6	6	5	7	6	6	7	7	6	6	3	3	7	3	3	3	1	2
33	3	9	3	3	6	9	3	6	6	9	3	9	6	3	8	9	0	9
34	6	6	9	9	5	9	9	9	9	6	7	6	5	8	9	9	1	7
35	9	3	9	3	0	3	3	3	3	0	0	0	6	1	0	0	3	0
36	9	7	9	7	2	9	2	9	9	7	7	6	6	6	6	6	0	7
37	6	5	8	8	9	5	8	6	8	3	1	3	6	6	1	1	5	0
38	7	6	3	7	6	6	7	6	6	6	5	3	7	3	6	8	1	5
39	7	6	6	8	9	8	9	8	9	7	8	8	9	6	8	9	9	8
40	6	6	7	7	6	6	7	7	7	6	5	7	7	6	6	9	2	8
41	9	9	9	7	9	9	9	8	9	6	7	7	9	8	8	7	1	9
42	8	7	6	8	6	8	7	7	7	8	7	6	7	6	8	8	9	7
43	3	6	3	9	7	9	9	8	7	9	7	9	9	9	7	9	0	9
44	7	6	6	6	7	7	7	3	7	6	2	3	6	6	7	5	0	8
45	7	8	9	9	9	9	9	8	8	9	7	9	9	9	9	7	6	9
46	7	7	9	9	6	9	8	9	9	9	7	6	8	7	7	6	5	0
47	7	6	9	8	9	8	7	6	7	7	0	3	7	5	6	3	0	6
48	6	7	3	7	7	7	6	7	7	7	6	7	7	6	7	7	6	7
49	5	9	3	5	6	0	6	5	5	0	1	2	5	3	2	2	0	2
50	9	7	0	5	8	8	9	8	8	6	0	0	6	2	5	2	0	6
51	7	7	9	7	5	9	6	7	7	9	2	6	7	9	7	9	1	7
52	5	5	7	7	5	6	6	5	6	5	3	5	6	5	6	5	0	6
53	7	3	8	8	9	6	8	6	7	7	7	7	8	7	6	6	1	9
54	9	7	7	7	7	7	9	7	5	5	7	6	7	6	6	7	5	7
55	6	6	3	6	6	6	7	6	7	7	7	6	7	5	6	6	2	6
56	8	7	5	6	6	8	6	7	6	7	7	6	7	6	6	6	0	6
57	6	3	7	7	3	5	3	5	3	0	3	3	3	0	5	3	9	3
58	6	6	8	8	6	9	9	7	7	9	7	7	8	7	7	7	2	7
59	9	7	7	9	8	7	8	7	8	7	7	8	9	7	9	9	3	9
60	5	7	3	7	6	7	6	6	7	7	5	5	7	6	6	6	5	3
61	8	8	0	5	6	5	5	6	6	5	2	2	5	2	5	6	0	2
62	6	3	6	7	8	8	6	6	8	8	6	6	8	6	6	7	6	7
63	8	6	8	6	6	7	7	7	7	7	8	7	7	6	7	6	1	8
64	5	6	7	7	7	1	2	6	7	3	3	5	6	3	6	9	6	5
65	8	6	7	7	6	7	7	8	5	6	5	6	6	6	5	0	3	1
66	7	7	6	7	8	7	8	8	8	8	0	5	8	6	5	5	0	5
67	7	9	7	7	7	7	9	7	9	9	6	6	7	7	6	6	8	5
68	7	7	7	5	3	7	6	7	6	6	3	3	5	0	2	0	6	2
69	8	5	6	7	6	6	7	8	8	7	5	6	7	6	7	8	6	7
70	7	6	7	6	7	7	8	7	7	8	5	5	6	5	6	6	1	7
71	6	6	7	7	7	7	8	8	7	8	6	6	8	6	7	6	1	8
72	9	9	9	9	8	8	9	9	8	7	6	6	9	5	8	3	2	7
73	7	9	6	7	9	9	9	9	9	9	0	0	9	9	9	0	3	0
74	7	5	2	6	6	3	6	6	6	5	6	6	6	5	3	6	5	3
75	7	9	9	6	6	7	6	7	6	7	6	6	6	0	6	9	3	3
76	7	0	8	7	6	5	6	7	7	5	2	2	6	5	5	7	3	5
77	8	8	9	6	7	7	7	7	7	7	7	7	6	5	8	7	2	8
78	5	3	3	6	5	2	6	5	5	6	3	3	7	6	5	9	5	7
79	7	5	6	7	6	6	7	6	7	7	5	5	7	5	6	7	5	7
80	6	7	6	7	6	6	7	7	7	5	6	6	6	7	6	7	0	7
81	8	7	8	8	8	8	9	8	8	8	6	6	7	8	7	7	9	9
82	7	5	2	7	7	7	7	6	6	6	6	7	7	2	7	8	5	7
83	7	7	7	8	7	9	8	8	6	8	6	7	8	8	9	9	5	9
84	6	6	5	7	6	7	7	8	6	6	5	6	7	5	5	6	2	5
85	7	5	7	7	7	7	6	7	6	6	5	6	7	6	5	7	2	3
86	7	3	1	6	3	8	8	8	7	9	2	7	6	8	6	8	2	3
87	8	7	9	8	8	7	7	8	8	8	7	8	7	8	9	9	1	9
88	8	9	7	8	7	8	8	8	8	8	8	8	7	6	8	9	7	7
89	7	6	7	8	7	7	6	6	8	6	6	7	8	7	7	9	0	9
90	6	6	6	7	8	9	7	9	8	8	6	7	6	8	7	7	8	8
91	7	7	7	8	9	8	9	9	7	8	7	7	9	7	6	9	9	7
92	7	6	6	6	7	5	7	6	5	6	5	6	7	7	6	5	1	7
93	7	8	6	8	7	8	7	8	7	8	6	7	7	8	8	9	0	8
94	5	7	5	7	3	7	9	7	6	5	7	5	6	7	6	7	9	3
95	6	3	6	2	7	0	1	2	2	2	2	2	3	0	1	0	0	0
96	6	7	9	8	7	9	6	8	7	8	7	9	7	7	9	9	7	8
97	7	3	7	8	7	6	8	7	8	9	8	7	7	7	8	8	5	8
98	6	5	7	7	7	6	6	5	6	6	6	6	7	5	6	6	1	7
99	6	5	3	7	5	6	6	6	6	6	3	6	7	6	6	6	1	3
100	6	6	8	9	7	9	9	6	9	9	6	6	7	8	8	6	9	9
101	7	3	7	7	6	7	7	7	6	7	6	7	7	3	6	7	1	3
102	7	7	6	7	6	7	6	7	7	6	6	6	7	7	6	6	5	6
103	7	6	7	8	8	3	8	7	6	7	6	7	7	7	7	8	0	9
104	6	6	5	6	5	7	5	6	5	6	5	6	9	5	7	3	7	7
105	8	6	6	8	8	7	8	7	9	8	7	7	9	6	7	9	5	9
106	6	0	7	5	6	8	6	8	6	6	3	3	6	3	3	3	1	6
107	9	9	9	9	3	3	9	3	9	9	9	7	9	7	7	7	1	7
108	6	7	7	7	6	7	7	7	7	6	1	6	7	7	8	7	1	8
109	9	0	6	9	9	9	0	9	0	9	7	7	7	6	7	9	2	9
110	7	8	7	8	6	7	7	7	7	7	6	7	9	7	9	9	6	9
111	7	7	3	6	8	6	7	8	8	7	3	6	8	7	6	8	0	7
112	8	7	8	8	8	6	8	7	8	7	6	8	7	5	7	9	0	8
113	8	9	8	8	7	8	8	8	8	8	8	7	8	8	8	9	9	9
114	7	7	9	9	9	9	9	9	9	9	7	7	9	7	9	9	2	9
115	6	9	7	7	6	9	9	9	9	9	7	7	7	7	9	7	5	9
116	3	9	9	7	6	2	3	7	6	6	0	3	7	3	3	7	9	8
117	3	0	8	6	7	8	8	8	9	9	9	9	7	9	9	9	5	9
118	9	9	9	9	8	6	9	9	8	9	7	7	9	6	7	9	0	9
119	9	7	9	9	6	9	8	9	8	8	8	8	7	7	8	9	9	6
120	9	7	6	7	7	7	7	7	7	9	7	7	7	9	9	9	9	7
121	8	7	9	7	7	7	8	8	7	7	6	7	8	9	3	5	0	6
122	8	7	5	7	7	6	3	6	6	7	0	2	3	6	3	9	1	0
123	9	9	7	9	9	9	9	9	9	9	9	9	9	9	9	9	7	9
124	7	8	2	5	2	5	6	6	3	5	3	5	6	2	5	7	3	7
125	5	3	8	5	1	3	1	6	2	8	5	6	7	3	6	7	1	5
126	7	5	6	7	7	6	8	6	7	8	3	3	5	6	6	0	1	2
127	9	8	8	9	7	8	8	8	8	8	8	8	8	9	8	9	9	8
128	6	5	5	7	6	7	7	6	7	7	3	5	7	7	6	7	1	6
129	7	6	6	6	3	8	6	7	6	7	3	3	6	5	5	0	9	7
130	6	6	7	6	5	7	7	7	7	6	6	6	7	6	6	6	0	7
131	9	3	7	7	6	3	7	3	7	7	3	9	3	6	9	9	0	7
132	6	5	9	7	3	5	6	7	6	7	2	2	6	3	3	2	9	3
133	3	9	0	0	2	3	2	5	3	5	3	3	5	3	3	9	9	9
134	9	9	2	7	7	9	9	9	9	7	9	7	5	7	7	9	0	7
135	6	6	3	7	1	7	7	8	6	6	5	6	7	6	6	7	0	6
136	7	1	6	9	7	8	6	8	8	6	7	7	7	7	7	9	3	9
